Trial Num,Random Numb,Result
1,0.31921943861773316,Heads
2,0.333131047313066,Heads
3,0.988102732312783,Tails
4,0.9375541253991955,Tails
5,0.466152840816762,Heads
6,0.31708303354247713,Heads
7,0.6964637700090185,Tails
8,0.48257118510410624,Heads
9,0.3708505201649853,Heads
10,0.12105771199980109,Heads
11,0.05319759967754334,Heads
12,0.1723165119820088,Heads
13,0.27231560932251375,Heads
14,0.13300528255457011,Heads
15,0.6991782727781911,Tails
16,0.721786726578927,Tails
17,0.32558152290287423,Heads
18,0.4151750174444314,Heads
19,0.7495876316989146,Tails
20,0.6981195520889365,Tails
21,0.4861314859746929,Heads
22,0.5408611043276998,Tails
23,0.8029850743286981,Tails
24,0.06784979149897796,Heads
25,0.9723746893451429,Tails
26,0.6159722578521164,Tails
27,0.7773814582666835,Tails
28,0.5840426006858677,Tails
29,0.503131190265712,Tails
30,0.6665972604125688,Tails
31,0.0879702270958187,Heads
32,0.24613799241454626,Heads
33,0.7657024697417051,Tails
34,0.05146444488141133,Heads
35,0.9303473374635306,Tails
36,0.9592915280217716,Tails
37,0.5494819185235545,Tails
38,0.07491804737086294,Heads
39,0.9113727743239446,Tails
40,0.7633871412118767,Tails
41,0.08622045106105525,Heads
42,0.41618274322980386,Heads
43,0.5548894818297216,Tails
44,0.28883679171220367,Heads
45,0.274295369701975,Heads
46,0.9594040697054649,Tails
47,0.7625376656218322,Tails
48,0.30908510097861586,Heads
49,0.6925907873318142,Tails
50,0.7075115475489889,Tails
51,0.4079797104600701,Heads
52,0.24481198474265053,Heads
53,0.12115290946759905,Heads
54,0.4810068899459139,Heads
55,0.32300887568878334,Heads
56,0.056119044735648105,Heads
57,0.7565581033991831,Tails
58,0.6619658849955176,Tails
59,0.7245892430780154,Tails
60,0.036690256164463864,Heads
61,0.966385145067053,Tails
62,0.8918247002837357,Tails
63,0.16512234500746792,Heads
64,0.7923539253527848,Tails
65,0.5124729524746907,Tails
66,0.8755063579441534,Tails
67,0.2572755594946913,Heads
68,0.7967274343150708,Tails
69,0.08557939383244428,Heads
70,0.24843331009047487,Heads
71,0.2307462733411909,Heads
72,0.2076017002375764,Heads
73,0.8063195490885846,Tails
74,0.8256538302921559,Tails
75,0.28125814808008476,Heads
76,0.9829734162408406,Tails
77,0.5080154947550958,Tails
78,0.6510049133463098,Tails
79,0.9543531230965681,Tails
80,0.41453572426257135,Heads
81,0.22659826623829116,Heads
82,0.9244122820508364,Tails
83,0.5382305127075022,Tails
84,0.08916942189456423,Heads
85,0.8809022274610155,Tails
86,0.7837912041674642,Tails
87,0.8614089375497215,Tails
88,0.9579333068086129,Tails
89,0.34554050333347563,Heads
90,0.981992823677697,Tails
91,0.583335549374259,Tails
92,0.19179319622733837,Heads
93,0.8126610209107882,Tails
94,0.6204511586801064,Tails
95,0.6567557779246631,Tails
96,0.31588620280590496,Heads
97,0.9505917721048421,Tails
98,0.06611546641739419,Heads
99,0.14476016522305568,Heads
100,0.020532045949555378,Heads
101,0.6592737568876605,Tails
102,0.7638181808231991,Tails
103,0.6046472580527558,Tails
104,0.9777284392107379,Tails
105,0.6546935357670929,Tails
106,0.4609703455363362,Heads
107,0.436771125570396,Heads
108,0.6712144277215997,Tails
109,0.7735775417425056,Tails
110,0.36938475354068945,Heads
111,0.5838771907908971,Tails
112,0.269469677238255,Heads
113,0.48308408776024003,Heads
114,0.655709646989135,Tails
115,0.10554047501725827,Heads
116,0.9576961508559996,Tails
117,0.1489951605642179,Heads
118,0.6832214161639107,Tails
119,0.6384747258022745,Tails
120,0.20684444702398208,Heads
121,0.22890859090579563,Heads
122,0.5811485561502345,Tails
123,0.2573239104759095,Heads
124,0.802681468789578,Tails
125,0.9024744197642673,Tails
126,0.6258849084548115,Tails
127,0.8499966528726971,Tails
128,0.1117666739642813,Heads
129,0.8235013556129928,Tails
130,0.4345004304475303,Heads
131,0.4876567532355278,Heads
132,0.4695171682091638,Heads
133,0.8257591896507692,Tails
134,0.6616002697337733,Tails
135,0.31355216432084543,Heads
136,0.6637135384043267,Tails
137,0.3896769402796213,Heads
138,0.30786872980415214,Heads
139,0.8662790488570797,Tails
140,0.7110214079625822,Tails
141,0.24648140207166314,Heads
142,0.7537033756710306,Tails
143,0.76141803434456,Tails
144,0.8731227511677911,Tails
145,0.1973946251731381,Heads
146,0.3472939348884727,Heads
147,0.8474774822815333,Tails
148,0.531402954881167,Tails
149,0.2568480264312045,Heads
150,0.2778070834361409,Heads
151,0.3842813395723256,Heads
152,0.9183900242104205,Tails
153,0.5164756003078891,Tails
154,0.48091524207445124,Heads
155,0.05290335462251705,Heads
156,0.12433338286251794,Heads
157,0.2463076649449497,Heads
158,0.13957690746402107,Heads
159,0.7579549931114024,Tails
160,0.7765752952222503,Tails
161,0.17970044758692716,Heads
162,0.8465995183908084,Tails
163,0.4027824295324639,Heads
164,0.9207161348246885,Tails
165,0.5927045847721187,Tails
166,0.484369986745636,Heads
167,0.4823509087727966,Heads
168,0.432931200844466,Heads
169,0.43602537347798587,Heads
170,0.04568027044299672,Heads
171,0.4936370447702406,Heads
172,0.4075751702926256,Heads
173,0.5836219663143561,Tails
174,0.43567682138097585,Heads
